               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093424,            0.074714,             0.05608,             0.21006,             0.13535,            0.060895,            0.024716,            0.066691,            0.060581,            0.041776,            0.070182,           0.0033131,           0.0033131
                   1,            0.068443,            0.068301,            0.041725,             0.31799,             0.17377,            0.075814,             0.03243,             0.06166,            0.057537,            0.034285,             0.04005,           0.0065149,           0.0065149
                   2,            0.065193,            0.065964,            0.036572,             0.60486,             0.20012,              0.1163,            0.050813,             0.05778,            0.056168,            0.031324,           0.0097866,           0.0095846,           0.0095846
                   3,            0.058263,            0.065307,            0.034155,             0.61438,             0.29315,             0.15978,            0.078552,            0.046299,            0.055441,            0.029933,            0.009406,            0.009406,            0.009406
                   4,             0.05198,            0.063949,            0.032094,             0.65114,             0.22768,             0.18772,              0.1019,            0.041897,            0.055893,             0.02875,            0.009406,            0.009406,            0.009406
                   5,            0.049292,            0.063213,            0.030047,             0.66494,             0.26475,             0.21299,             0.11731,            0.043259,            0.055056,            0.027511,            0.009208,            0.009208,            0.009208
                   6,            0.046634,            0.061729,            0.027982,              0.5743,             0.30752,             0.21639,             0.12174,            0.041028,            0.055529,            0.025892,             0.00901,             0.00901,             0.00901
                   7,            0.045635,            0.061323,            0.026195,             0.62199,             0.30665,              0.2385,             0.13827,            0.039901,             0.05503,            0.025397,            0.008812,            0.008812,            0.008812
                   8,            0.044598,            0.060733,            0.024823,             0.62117,             0.31907,             0.25955,             0.14653,            0.040547,            0.055322,            0.024045,            0.008614,            0.008614,            0.008614
                   9,            0.044127,            0.060083,             0.02361,             0.67075,             0.29437,             0.26084,             0.15843,            0.039655,            0.056696,             0.02403,            0.008416,            0.008416,            0.008416
                  10,            0.043492,            0.059859,            0.022496,             0.65773,             0.28805,             0.27827,             0.16121,            0.043488,            0.053758,            0.022836,            0.008218,            0.008218,            0.008218
                  11,            0.042931,            0.059815,            0.021966,             0.69038,             0.28328,             0.28705,             0.17349,             0.03891,            0.059098,            0.024437,             0.00802,             0.00802,             0.00802
                  12,             0.04209,            0.058649,            0.020889,              0.6206,             0.28603,             0.31518,             0.19372,            0.038479,            0.055868,            0.023425,            0.007822,            0.007822,            0.007822
                  13,            0.041477,            0.058062,            0.019647,             0.44798,              0.4154,             0.30738,             0.19387,            0.037951,             0.05802,            0.025553,            0.007624,            0.007624,            0.007624
                  14,            0.040835,            0.057501,            0.019054,              0.6094,              0.3373,             0.33715,              0.2145,            0.037289,            0.057054,            0.023265,            0.007426,            0.007426,            0.007426
                  15,             0.04056,            0.056912,            0.018132,             0.62973,              0.3353,             0.33885,              0.2196,            0.036724,            0.057666,            0.024175,            0.007228,            0.007228,            0.007228
                  16,            0.039713,            0.056591,            0.017527,             0.51534,             0.34584,             0.34836,             0.22237,              0.0379,            0.060669,            0.024254,             0.00703,             0.00703,             0.00703
                  17,             0.03975,            0.056091,            0.016803,             0.51814,             0.38419,             0.35753,             0.22952,            0.036952,            0.057478,            0.023643,            0.006832,            0.006832,            0.006832
